class,precision,recall,f1,support,class_accuracy,roc_auc
apple,0.8172043010752689,0.76,0.7875647668393783,100,0.76,0.9314030303030304
aquarium_fish,0.7184466019417476,0.74,0.729064039408867,100,0.74,0.9114343434343434
baby,0.7222222222222222,0.65,0.6842105263157895,100,0.65,0.8607333333333334
bear,0.7472527472527473,0.68,0.7120418848167539,100,0.68,0.8914969696969698
beaver,0.7058823529411765,0.72,0.7128712871287128,100,0.72,0.9131474747474746
bed,0.8210526315789474,0.78,0.8,100,0.78,0.9393363636363635
bee,0.6454545454545455,0.71,0.6761904761904762,100,0.71,0.8966515151515152
beetle,0.7425742574257426,0.75,0.746268656716418,100,0.75,0.8970636363636363
bicycle,0.7572815533980582,0.78,0.7684729064039408,100,0.78,0.9376060606060607
bottle,0.7864077669902912,0.81,0.7980295566502463,100,0.81,0.9485858585858585
bowl,0.7938144329896907,0.77,0.7817258883248731,100,0.77,0.9483363636363636
boy,0.7425742574257426,0.75,0.746268656716418,100,0.75,0.8963343434343434
bridge,0.75,0.78,0.7647058823529411,100,0.78,0.922779797979798
bus,0.8155339805825242,0.84,0.8275862068965517,100,0.84,0.9431414141414141
butterfly,0.7319587628865979,0.71,0.7208121827411168,100,0.71,0.8690838383838383
camel,0.7524752475247525,0.76,0.7562189054726368,100,0.76,0.8906696969696969
can,0.7572815533980582,0.78,0.7684729064039408,100,0.78,0.938779797979798
castle,0.7216494845360825,0.7,0.7106598984771574,100,0.7,0.8915878787878788
caterpillar,0.6666666666666666,0.62,0.6424870466321243,100,0.62,0.8413242424242424
cattle,0.6972477064220184,0.76,0.7272727272727273,100,0.76,0.9125151515151514
chair,0.7448979591836735,0.73,0.7373737373737373,100,0.73,0.9039535353535354
chimpanzee,0.7448979591836735,0.73,0.7373737373737373,100,0.73,0.8976636363636362
clock,0.7476635514018691,0.8,0.7729468599033816,100,0.8,0.9254545454545455
cloud,0.6785714285714286,0.76,0.7169811320754716,100,0.76,0.9315676767676767
cockroach,0.7592592592592593,0.82,0.7884615384615384,100,0.82,0.9274070707070707
couch,0.7216494845360825,0.7,0.7106598984771574,100,0.7,0.9308303030303031
crab,0.6203703703703703,0.67,0.6442307692307693,100,0.67,0.8766626262626261
crocodile,0.7976190476190477,0.67,0.7282608695652174,100,0.67,0.864449494949495
cup,0.7596153846153846,0.79,0.7745098039215687,100,0.79,0.9151757575757575
dinosaur,0.7244897959183674,0.71,0.7171717171717171,100,0.71,0.9038404040404041
dolphin,0.6666666666666666,0.76,0.7102803738317757,100,0.76,0.904310101010101
elephant,0.7777777777777778,0.7,0.7368421052631579,100,0.7,0.8869343434343434
flatfish,0.7264150943396226,0.77,0.7475728155339806,100,0.77,0.899511111111111
forest,0.7722772277227723,0.78,0.7761194029850746,100,0.78,0.9324030303030304
fox,0.7319587628865979,0.71,0.7208121827411168,100,0.71,0.8794343434343435
girl,0.7244897959183674,0.71,0.7171717171717171,100,0.71,0.9002060606060606
hamster,0.776595744680851,0.73,0.7525773195876289,100,0.73,0.8814656565656566
house,0.75,0.72,0.7346938775510204,100,0.72,0.9254767676767677
kangaroo,0.7272727272727273,0.64,0.6808510638297872,100,0.64,0.8526636363636364
keyboard,0.8131868131868132,0.74,0.774869109947644,100,0.74,0.9281898989898989
lamp,0.7920792079207921,0.8,0.7960199004975125,100,0.8,0.9234131313131313
lawn_mower,0.7570093457943925,0.81,0.782608695652174,100,0.81,0.938629292929293
leopard,0.6938775510204082,0.68,0.6868686868686869,100,0.68,0.8691595959595959
lion,0.7525773195876289,0.73,0.7411167512690355,100,0.73,0.9114414141414141
lizard,0.7272727272727273,0.72,0.7236180904522613,100,0.72,0.899790909090909
lobster,0.7790697674418605,0.67,0.7204301075268817,100,0.67,0.8771878787878786
man,0.7021276595744681,0.66,0.6804123711340206,100,0.66,0.8680797979797981
maple_tree,0.7524752475247525,0.76,0.7562189054726368,100,0.76,0.9277565656565656
motorcycle,0.7403846153846154,0.77,0.7549019607843137,100,0.77,0.9341696969696969
mountain,0.78125,0.75,0.7653061224489796,100,0.75,0.933469696969697
mouse,0.6597938144329897,0.64,0.649746192893401,100,0.64,0.8676373737373737
mushroom,0.7207207207207207,0.8,0.7582938388625592,100,0.8,0.9293989898989898
oak_tree,0.7777777777777778,0.77,0.7738693467336684,100,0.77,0.9424696969696968
orange,0.7129629629629629,0.77,0.7403846153846154,100,0.77,0.9128686868686869
orchid,0.7281553398058253,0.75,0.7389162561576355,100,0.75,0.9289404040404041
otter,0.6696428571428571,0.75,0.7075471698113207,100,0.75,0.914587878787879
palm_tree,0.7291666666666666,0.7,0.7142857142857143,100,0.7,0.9199919191919191
pear,0.7181818181818181,0.79,0.7523809523809524,100,0.79,0.952631313131313
pickup_truck,0.7641509433962265,0.81,0.7864077669902912,100,0.81,0.9247323232323232
pine_tree,0.7802197802197802,0.71,0.743455497382199,100,0.71,0.9120404040404039
plain,0.69,0.69,0.69,100,0.69,0.9020484848484849
plate,0.7894736842105263,0.75,0.7692307692307693,100,0.75,0.9290828282828283
poppy,0.73,0.73,0.73,100,0.73,0.8965252525252525
porcupine,0.7425742574257426,0.75,0.746268656716418,100,0.75,0.8800040404040405
possum,0.7714285714285715,0.81,0.7902439024390244,100,0.81,0.9215505050505052
rabbit,0.797752808988764,0.71,0.7513227513227513,100,0.71,0.870129292929293
raccoon,0.6907216494845361,0.67,0.6802030456852792,100,0.67,0.8552232323232324
ray,0.7064220183486238,0.77,0.7368421052631579,100,0.77,0.8848646464646465
road,0.7058823529411765,0.72,0.7128712871287128,100,0.72,0.9315878787878787
rocket,0.7319587628865979,0.71,0.7208121827411168,100,0.71,0.8984080808080809
rose,0.7450980392156863,0.76,0.7524752475247525,100,0.76,0.9011272727272727
sea,0.7431192660550459,0.81,0.7751196172248804,100,0.81,0.9524181818181819
seal,0.7888888888888889,0.71,0.7473684210526316,100,0.71,0.9049151515151516
shark,0.7731958762886598,0.75,0.7614213197969543,100,0.75,0.8987616161616161
shrew,0.7346938775510204,0.72,0.7272727272727273,100,0.72,0.9050151515151516
skunk,0.73,0.73,0.73,100,0.73,0.9026989898989899
skyscraper,0.7272727272727273,0.72,0.7236180904522613,100,0.72,0.8875989898989898
snail,0.7272727272727273,0.72,0.7236180904522613,100,0.72,0.8968424242424242
snake,0.7362637362637363,0.67,0.7015706806282722,100,0.67,0.8863282828282829
spider,0.7053571428571429,0.79,0.7452830188679245,100,0.79,0.9117
squirrel,0.7363636363636363,0.81,0.7714285714285715,100,0.81,0.9098525252525252
streetcar,0.7628865979381443,0.74,0.751269035532995,100,0.74,0.9187878787878787
sunflower,0.7314814814814815,0.79,0.7596153846153846,100,0.79,0.9339565656565656
sweet_pepper,0.7901234567901234,0.64,0.7071823204419889,100,0.64,0.8824232323232325
table,0.7766990291262136,0.8,0.7881773399014779,100,0.8,0.9616060606060607
tank,0.7980769230769231,0.83,0.8137254901960784,100,0.83,0.933730303030303
telephone,0.8037383177570093,0.86,0.8309178743961353,100,0.86,0.9412616161616162
television,0.7184466019417476,0.74,0.729064039408867,100,0.74,0.9140727272727273
tiger,0.6853932584269663,0.61,0.6455026455026455,100,0.61,0.8349151515151516
tractor,0.7339449541284404,0.8,0.7655502392344498,100,0.8,0.9465919191919193
train,0.6814159292035398,0.77,0.7230046948356808,100,0.77,0.9052545454545455
trout,0.7216494845360825,0.7,0.7106598984771574,100,0.7,0.8568474747474748
tulip,0.7339449541284404,0.8,0.7655502392344498,100,0.8,0.9485252525252525
turtle,0.6836734693877551,0.67,0.6767676767676768,100,0.67,0.866961616161616
wardrobe,0.7857142857142857,0.77,0.7777777777777778,100,0.77,0.9406747474747474
whale,0.72,0.72,0.72,100,0.72,0.8915434343434343
willow_tree,0.7849462365591398,0.73,0.7564766839378239,100,0.73,0.9299575757575758
wolf,0.7894736842105263,0.75,0.7692307692307693,100,0.75,0.8837282828282828
woman,0.7176470588235294,0.61,0.6594594594594595,100,0.61,0.8352979797979797
worm,0.6481481481481481,0.7,0.6730769230769231,100,0.7,0.8774101010101011
macro_avg,0.7396869594177581,0.7386,0.7382345235400334,10000,0.7386,0.9066823737373737
weighted_avg,0.7396869594177581,0.7386,0.7382345235400333,10000,0.7386,0.9066823737373737
overall,,,,10000,0.7386,0.9066823737373737
