class,precision,recall,f1,support,class_accuracy,roc_auc
apple,0.8,0.84,0.8195121951219512,100,0.84,0.9563181818181817
aquarium_fish,0.8484848484848485,0.84,0.8442211055276382,100,0.84,0.9218585858585859
baby,0.8556701030927835,0.83,0.8426395939086294,100,0.83,0.909930303030303
bear,0.7850467289719626,0.84,0.8115942028985508,100,0.84,0.915679797979798
beaver,0.8217821782178217,0.83,0.8258706467661692,100,0.83,0.9043000000000001
bed,0.8,0.8,0.8,100,0.8,0.9174363636363635
bee,0.8144329896907216,0.79,0.8020304568527918,100,0.79,0.956218181818182
beetle,0.8113207547169812,0.86,0.8349514563106796,100,0.86,0.9489171717171718
bicycle,0.8712871287128713,0.88,0.8756218905472637,100,0.88,0.935050505050505
bottle,0.8285714285714286,0.87,0.848780487804878,100,0.87,0.932489898989899
bowl,0.8148148148148148,0.88,0.8461538461538461,100,0.88,0.9385676767676767
boy,0.7959183673469388,0.78,0.7878787878787878,100,0.78,0.8978828282828282
bridge,0.8155339805825242,0.84,0.8275862068965517,100,0.84,0.9234969696969697
bus,0.8207547169811321,0.87,0.8446601941747572,100,0.87,0.9548131313131313
butterfly,0.78125,0.75,0.7653061224489796,100,0.75,0.849240404040404
camel,0.8333333333333334,0.9,0.8653846153846154,100,0.9,0.948259595959596
can,0.8316831683168316,0.84,0.835820895522388,100,0.84,0.922768686868687
castle,0.8252427184466019,0.85,0.8374384236453202,100,0.85,0.957690909090909
caterpillar,0.81,0.81,0.81,100,0.81,0.9201838383838384
cattle,0.82,0.82,0.82,100,0.82,0.9215252525252525
chair,0.794392523364486,0.85,0.821256038647343,100,0.85,0.9635747474747475
chimpanzee,0.7608695652173914,0.7,0.7291666666666666,100,0.7,0.8498808080808081
clock,0.8173076923076923,0.85,0.8333333333333334,100,0.85,0.9437949494949496
cloud,0.8191489361702128,0.77,0.7938144329896907,100,0.77,0.9010727272727274
cockroach,0.8282828282828283,0.82,0.8241206030150754,100,0.82,0.9311939393939395
couch,0.8316831683168316,0.84,0.835820895522388,100,0.84,0.9506979797979799
crab,0.8247422680412371,0.8,0.8121827411167513,100,0.8,0.90600101010101
crocodile,0.7912087912087912,0.72,0.7539267015706806,100,0.72,0.8666101010101009
cup,0.87,0.87,0.87,100,0.87,0.9503353535353536
dinosaur,0.7596153846153846,0.79,0.7745098039215687,100,0.79,0.9125474747474747
dolphin,0.8137254901960784,0.83,0.8217821782178217,100,0.83,0.9298272727272727
elephant,0.8073394495412844,0.88,0.8421052631578947,100,0.88,0.9391353535353535
flatfish,0.8863636363636364,0.78,0.8297872340425532,100,0.78,0.9144515151515151
forest,0.7678571428571429,0.86,0.8113207547169812,100,0.86,0.9505636363636363
fox,0.8173076923076923,0.85,0.8333333333333334,100,0.85,0.940429292929293
girl,0.8426966292134831,0.75,0.7936507936507936,100,0.75,0.8997808080808082
hamster,0.8229166666666666,0.79,0.8061224489795918,100,0.79,0.9176343434343435
house,0.8681318681318682,0.79,0.8272251308900523,100,0.79,0.9145313131313132
kangaroo,0.8421052631578947,0.8,0.8205128205128205,100,0.8,0.8849656565656565
keyboard,0.8247422680412371,0.8,0.8121827411167513,100,0.8,0.9011151515151515
lamp,0.8035714285714286,0.9,0.8490566037735849,100,0.9,0.9470676767676769
lawn_mower,0.79,0.79,0.79,100,0.79,0.9130080808080807
leopard,0.7916666666666666,0.76,0.7755102040816326,100,0.76,0.8763181818181819
lion,0.8247422680412371,0.8,0.8121827411167513,100,0.8,0.8996222222222223
lizard,0.8202247191011236,0.73,0.7724867724867724,100,0.73,0.8882373737373738
lobster,0.7623762376237624,0.77,0.7661691542288557,100,0.77,0.8979686868686868
man,0.8,0.76,0.7794871794871795,100,0.76,0.8841838383838384
maple_tree,0.8,0.84,0.8195121951219512,100,0.84,0.909588888888889
motorcycle,0.8113207547169812,0.86,0.8349514563106796,100,0.86,0.9423282828282828
mountain,0.8764044943820225,0.78,0.8253968253968254,100,0.78,0.9152353535353535
mouse,0.8181818181818182,0.81,0.8140703517587939,100,0.81,0.9008555555555555
mushroom,0.8350515463917526,0.81,0.8223350253807107,100,0.81,0.9164575757575757
oak_tree,0.7962962962962963,0.86,0.8269230769230769,100,0.86,0.9332585858585858
orange,0.8348623853211009,0.91,0.8708133971291866,100,0.91,0.954051515151515
orchid,0.7669902912621359,0.79,0.7783251231527094,100,0.79,0.8905202020202021
otter,0.8,0.76,0.7794871794871795,100,0.76,0.9038616161616161
palm_tree,0.803921568627451,0.82,0.8118811881188119,100,0.82,0.9178555555555556
pear,0.8613861386138614,0.87,0.8656716417910447,100,0.87,0.9327707070707071
pickup_truck,0.8285714285714286,0.87,0.848780487804878,100,0.87,0.9632363636363637
pine_tree,0.8260869565217391,0.76,0.7916666666666666,100,0.76,0.9063757575757576
plain,0.8037383177570093,0.86,0.8309178743961353,100,0.86,0.9380676767676768
plate,0.780952380952381,0.82,0.8,100,0.82,0.9142979797979799
poppy,0.8673469387755102,0.85,0.8585858585858586,100,0.85,0.9514818181818182
porcupine,0.845360824742268,0.82,0.8324873096446701,100,0.82,0.9425585858585858
possum,0.8207547169811321,0.87,0.8446601941747572,100,0.87,0.9685888888888889
rabbit,0.8181818181818182,0.9,0.8571428571428571,100,0.9,0.949030303030303
raccoon,0.84375,0.81,0.826530612244898,100,0.81,0.9102313131313132
ray,0.8333333333333334,0.8,0.8163265306122449,100,0.8,0.9053131313131313
road,0.8571428571428571,0.84,0.8484848484848485,100,0.84,0.9349616161616161
rocket,0.7706422018348624,0.84,0.8038277511961722,100,0.84,0.9485454545454544
rose,0.8118811881188119,0.82,0.8159203980099502,100,0.82,0.9343929292929292
sea,0.8058252427184466,0.83,0.8177339901477833,100,0.83,0.9078777777777778
seal,0.8461538461538461,0.77,0.806282722513089,100,0.77,0.8879606060606061
shark,0.803921568627451,0.82,0.8118811881188119,100,0.82,0.9093040404040404
shrew,0.8369565217391305,0.77,0.8020833333333334,100,0.77,0.9033464646464646
skunk,0.7708333333333334,0.74,0.7551020408163265,100,0.74,0.8814222222222222
skyscraper,0.8431372549019608,0.86,0.8514851485148515,100,0.86,0.9446222222222221
snail,0.8723404255319149,0.82,0.845360824742268,100,0.82,0.9160232323232322
snake,0.7956989247311828,0.74,0.7668393782383419,100,0.74,0.8573919191919191
spider,0.84375,0.81,0.826530612244898,100,0.81,0.886840404040404
squirrel,0.7383177570093458,0.79,0.7632850241545893,100,0.79,0.8804878787878788
streetcar,0.8301886792452831,0.88,0.8543689320388349,100,0.88,0.9451292929292929
sunflower,0.872093023255814,0.75,0.8064516129032258,100,0.75,0.8935858585858587
sweet_pepper,0.9148936170212766,0.86,0.8865979381443299,100,0.86,0.9383737373737373
table,0.8645833333333334,0.83,0.8469387755102041,100,0.83,0.8960020202020202
tank,0.8037383177570093,0.86,0.8309178743961353,100,0.86,0.9205848484848486
telephone,0.89,0.89,0.89,100,0.89,0.945490909090909
television,0.8469387755102041,0.83,0.8383838383838383,100,0.83,0.9176777777777778
tiger,0.8269230769230769,0.86,0.8431372549019608,100,0.86,0.9497595959595959
tractor,0.7456140350877193,0.85,0.794392523364486,100,0.85,0.9688222222222223
train,0.8235294117647058,0.84,0.8316831683168316,100,0.84,0.8980111111111111
trout,0.826530612244898,0.81,0.8181818181818182,100,0.81,0.9374666666666667
tulip,0.8217821782178217,0.83,0.8258706467661692,100,0.83,0.912580808080808
turtle,0.8315789473684211,0.79,0.8102564102564103,100,0.79,0.9278353535353534
wardrobe,0.8207547169811321,0.87,0.8446601941747572,100,0.87,0.9691
whale,0.7745098039215687,0.79,0.7821782178217822,100,0.79,0.9177919191919192
willow_tree,0.8210526315789474,0.78,0.8,100,0.78,0.9306555555555556
wolf,0.8131868131868132,0.74,0.774869109947644,100,0.74,0.8994909090909091
woman,0.8181818181818182,0.72,0.7659574468085106,100,0.72,0.836329292929293
worm,0.7115384615384616,0.74,0.7254901960784313,100,0.74,0.9117484848484848
macro_avg,0.8189485722885915,0.8181,0.8177811676877523,10000,0.8181,0.9198275656565659
weighted_avg,0.8189485722885914,0.8181,0.8177811676877523,10000,0.8181,0.9198275656565659
overall,,,,10000,0.8181,0.9198275656565659
