class,precision,recall,f1,support,class_accuracy,roc_auc
apple,0.7156862745098039,0.73,0.7227722772277227,100,0.73,0.9505141414141415
aquarium_fish,0.7090909090909091,0.78,0.7428571428571429,100,0.78,0.8882000000000001
baby,0.6947368421052632,0.66,0.676923076923077,100,0.66,0.8614010101010101
bear,0.7956989247311828,0.74,0.7668393782383419,100,0.74,0.9005343434343435
beaver,0.67,0.67,0.67,100,0.67,0.8583282828282829
bed,0.7291666666666666,0.7,0.7142857142857143,100,0.7,0.9245323232323233
bee,0.6727272727272727,0.74,0.7047619047619048,100,0.74,0.8834696969696969
beetle,0.6590909090909091,0.58,0.6170212765957447,100,0.58,0.8016494949494949
bicycle,0.7428571428571429,0.78,0.7609756097560976,100,0.78,0.9470464646464646
bottle,0.7525773195876289,0.73,0.7411167512690355,100,0.73,0.929849494949495
bowl,0.69,0.69,0.69,100,0.69,0.9281676767676769
boy,0.6699029126213593,0.69,0.6798029556650246,100,0.69,0.8906808080808082
bridge,0.6371681415929203,0.72,0.676056338028169,100,0.72,0.9104787878787879
bus,0.6851851851851852,0.74,0.7115384615384616,100,0.74,0.9480121212121212
butterfly,0.75,0.66,0.7021276595744681,100,0.66,0.834329292929293
camel,0.72,0.72,0.72,100,0.72,0.8708484848484849
can,0.6862745098039216,0.7,0.693069306930693,100,0.7,0.9385232323232324
castle,0.7222222222222222,0.65,0.6842105263157895,100,0.65,0.9101292929292928
caterpillar,0.6542056074766355,0.7,0.6763285024154589,100,0.7,0.8759383838383838
cattle,0.6203703703703703,0.67,0.6442307692307693,100,0.67,0.8567131313131313
chair,0.7575757575757576,0.75,0.7537688442211056,100,0.75,0.940349494949495
chimpanzee,0.723404255319149,0.68,0.7010309278350515,100,0.68,0.8905313131313132
clock,0.7422680412371134,0.72,0.7309644670050761,100,0.72,0.9561616161616162
cloud,0.7525773195876289,0.73,0.7411167512690355,100,0.73,0.9390949494949494
cockroach,0.75,0.78,0.7647058823529411,100,0.78,0.9077878787878789
couch,0.7184466019417476,0.74,0.729064039408867,100,0.74,0.9304343434343434
crab,0.6605504587155964,0.72,0.6889952153110048,100,0.72,0.8816323232323232
crocodile,0.6415094339622641,0.68,0.6601941747572816,100,0.68,0.841169696969697
cup,0.6571428571428571,0.69,0.6731707317073171,100,0.69,0.9241676767676767
dinosaur,0.7127659574468085,0.67,0.6907216494845361,100,0.67,0.8554676767676767
dolphin,0.6470588235294118,0.66,0.6534653465346535,100,0.66,0.8547060606060606
elephant,0.6931818181818182,0.61,0.648936170212766,100,0.61,0.8319393939393939
flatfish,0.7019230769230769,0.73,0.7156862745098039,100,0.73,0.8596585858585859
forest,0.6542056074766355,0.7,0.6763285024154589,100,0.7,0.9162131313131313
fox,0.6868686868686869,0.68,0.6834170854271356,100,0.68,0.8698131313131313
girl,0.6818181818181818,0.6,0.6382978723404256,100,0.6,0.8226848484848486
hamster,0.7142857142857143,0.65,0.680628272251309,100,0.65,0.856061616161616
house,0.7777777777777778,0.63,0.6961325966850829,100,0.63,0.9219474747474746
kangaroo,0.6509433962264151,0.69,0.6699029126213593,100,0.69,0.8670777777777777
keyboard,0.7959183673469388,0.78,0.7878787878787878,100,0.78,0.9447151515151514
lamp,0.72,0.72,0.72,100,0.72,0.9425969696969696
lawn_mower,0.672566371681416,0.76,0.7136150234741784,100,0.76,0.9485959595959597
leopard,0.6868686868686869,0.68,0.6834170854271356,100,0.68,0.8935919191919192
lion,0.7340425531914894,0.69,0.711340206185567,100,0.69,0.8681212121212121
lizard,0.7291666666666666,0.7,0.7142857142857143,100,0.7,0.8502212121212122
lobster,0.7065217391304348,0.65,0.6770833333333334,100,0.65,0.8608888888888889
man,0.7,0.63,0.6631578947368421,100,0.63,0.8528717171717173
maple_tree,0.8118811881188119,0.82,0.8159203980099502,100,0.82,0.9673747474747475
motorcycle,0.7849462365591398,0.73,0.7564766839378239,100,0.73,0.9150787878787878
mountain,0.7142857142857143,0.75,0.7317073170731707,100,0.75,0.9419777777777778
mouse,0.6666666666666666,0.68,0.6732673267326733,100,0.68,0.8588404040404041
mushroom,0.6907216494845361,0.67,0.6802030456852792,100,0.67,0.934470707070707
oak_tree,0.6956521739130435,0.64,0.6666666666666666,100,0.64,0.9204818181818181
orange,0.6907216494845361,0.67,0.6802030456852792,100,0.67,0.9391848484848485
orchid,0.7325581395348837,0.63,0.6774193548387096,100,0.63,0.9044252525252526
otter,0.6226415094339622,0.66,0.6407766990291263,100,0.66,0.8454858585858587
palm_tree,0.6929824561403509,0.79,0.7383177570093458,100,0.79,0.9542474747474747
pear,0.6607142857142857,0.74,0.6981132075471698,100,0.74,0.9519737373737374
pickup_truck,0.7684210526315789,0.73,0.7487179487179487,100,0.73,0.9335121212121211
pine_tree,0.696969696969697,0.69,0.6934673366834171,100,0.69,0.9340242424242425
plain,0.7032967032967034,0.64,0.6701570680628273,100,0.64,0.9291636363636363
plate,0.6826923076923077,0.71,0.696078431372549,100,0.71,0.9163767676767677
poppy,0.6736842105263158,0.64,0.6564102564102564,100,0.64,0.9143444444444445
porcupine,0.7551020408163265,0.74,0.7474747474747475,100,0.74,0.9105373737373735
possum,0.6990291262135923,0.72,0.7093596059113301,100,0.72,0.8689181818181819
rabbit,0.72,0.72,0.72,100,0.72,0.8869030303030304
raccoon,0.75,0.72,0.7346938775510204,100,0.72,0.8500070707070707
ray,0.7340425531914894,0.69,0.711340206185567,100,0.69,0.8435212121212122
road,0.6454545454545455,0.71,0.6761904761904762,100,0.71,0.9242484848484849
rocket,0.6836734693877551,0.67,0.6767676767676768,100,0.67,0.9347424242424243
rose,0.6902654867256637,0.78,0.7323943661971831,100,0.78,0.950780808080808
sea,0.6907216494845361,0.67,0.6802030456852792,100,0.67,0.90230101010101
seal,0.75,0.75,0.75,100,0.75,0.9101383838383837
shark,0.6990291262135923,0.72,0.7093596059113301,100,0.72,0.8528909090909091
shrew,0.6568627450980392,0.67,0.6633663366336634,100,0.67,0.8429727272727272
skunk,0.7549019607843137,0.77,0.7623762376237624,100,0.77,0.888619191919192
skyscraper,0.7264150943396226,0.77,0.7475728155339806,100,0.77,0.9451282828282828
snail,0.776595744680851,0.73,0.7525773195876289,100,0.73,0.9017858585858587
snake,0.6881720430107527,0.64,0.6632124352331606,100,0.64,0.8720454545454545
spider,0.7415730337078652,0.66,0.6984126984126984,100,0.66,0.84210101010101
squirrel,0.6310679611650486,0.65,0.6403940886699507,100,0.65,0.8644979797979799
streetcar,0.7211538461538461,0.75,0.7352941176470589,100,0.75,0.9203242424242424
sunflower,0.7378640776699029,0.76,0.7487684729064039,100,0.76,0.9497484848484848
sweet_pepper,0.7238095238095238,0.76,0.7414634146341463,100,0.76,0.9452747474747475
table,0.7346938775510204,0.72,0.7272727272727273,100,0.72,0.929510101010101
tank,0.660377358490566,0.7,0.6796116504854369,100,0.7,0.936969696969697
telephone,0.7378640776699029,0.76,0.7487684729064039,100,0.76,0.9380858585858586
television,0.6936936936936937,0.77,0.7298578199052133,100,0.77,0.9559737373737375
tiger,0.7446808510638298,0.7,0.7216494845360825,100,0.7,0.8655616161616162
tractor,0.7129629629629629,0.77,0.7403846153846154,100,0.77,0.9557252525252526
train,0.7211538461538461,0.75,0.7352941176470589,100,0.75,0.9557919191919192
trout,0.7378640776699029,0.76,0.7487684729064039,100,0.76,0.8844626262626262
tulip,0.7575757575757576,0.75,0.7537688442211056,100,0.75,0.939978787878788
turtle,0.6931818181818182,0.61,0.648936170212766,100,0.61,0.8215333333333334
wardrobe,0.7592592592592593,0.82,0.7884615384615384,100,0.82,0.9582151515151516
whale,0.6,0.63,0.6146341463414634,100,0.63,0.8046838383838385
willow_tree,0.7238095238095238,0.76,0.7414634146341463,100,0.76,0.9379464646464647
wolf,0.717391304347826,0.66,0.6875,100,0.66,0.8442909090909091
woman,0.7010309278350515,0.68,0.6903553299492385,100,0.68,0.8546363636363636
worm,0.6509433962264151,0.69,0.6699029126213593,100,0.69,0.8515414141414142
macro_avg,0.7065740176239284,0.7054,0.7051397721899019,10000,0.7054,0.8994120505050504
weighted_avg,0.7065740176239285,0.7054,0.705139772189902,10000,0.7054,0.8994120505050505
overall,,,,10000,0.7054,0.8994120505050504
