class,precision,recall,f1,support,class_accuracy,roc_auc
apple,0.7446808510638298,0.7,0.7216494845360825,100,0.7,0.9414828282828281
aquarium_fish,0.813953488372093,0.7,0.7526881720430108,100,0.7,0.8842272727272728
baby,0.7096774193548387,0.66,0.6839378238341969,100,0.66,0.8929656565656566
bear,0.7575757575757576,0.75,0.7537688442211056,100,0.75,0.9184646464646464
beaver,0.7216494845360825,0.7,0.7106598984771574,100,0.7,0.8957444444444445
bed,0.7849462365591398,0.73,0.7564766839378239,100,0.73,0.908290909090909
bee,0.638095238095238,0.67,0.6536585365853659,100,0.67,0.8864111111111111
beetle,0.7102803738317757,0.76,0.7342995169082126,100,0.76,0.926341414141414
bicycle,0.7422680412371134,0.72,0.7309644670050761,100,0.72,0.9121242424242425
bottle,0.7857142857142857,0.77,0.7777777777777778,100,0.77,0.8970565656565657
bowl,0.7333333333333333,0.77,0.751219512195122,100,0.77,0.903621212121212
boy,0.7473684210526316,0.71,0.7282051282051282,100,0.71,0.9139474747474747
bridge,0.7524752475247525,0.76,0.7562189054726368,100,0.76,0.9157626262626263
bus,0.7592592592592593,0.82,0.7884615384615384,100,0.82,0.9221464646464648
butterfly,0.7439024390243902,0.61,0.6703296703296703,100,0.61,0.8425060606060607
camel,0.6857142857142857,0.72,0.7024390243902439,100,0.72,0.9197141414141414
can,0.7232142857142857,0.81,0.7641509433962265,100,0.81,0.9241080808080807
castle,0.7117117117117117,0.79,0.7488151658767772,100,0.79,0.9361080808080808
caterpillar,0.7349397590361446,0.61,0.6666666666666666,100,0.61,0.8546717171717172
cattle,0.6822429906542056,0.73,0.7053140096618358,100,0.73,0.9143616161616162
chair,0.7169811320754716,0.76,0.7378640776699029,100,0.76,0.8862444444444445
chimpanzee,0.6698113207547169,0.71,0.6893203883495146,100,0.71,0.8976151515151516
clock,0.8333333333333334,0.8,0.8163265306122449,100,0.8,0.91350101010101
cloud,0.6915887850467289,0.74,0.714975845410628,100,0.74,0.8970515151515152
cockroach,0.7040816326530612,0.69,0.696969696969697,100,0.69,0.8908959595959596
couch,0.7075471698113207,0.75,0.7281553398058253,100,0.75,0.9257454545454545
crab,0.6542056074766355,0.7,0.6763285024154589,100,0.7,0.8979050505050504
crocodile,0.7096774193548387,0.66,0.6839378238341969,100,0.66,0.8627565656565657
cup,0.8,0.76,0.7794871794871795,100,0.76,0.9017454545454544
dinosaur,0.6634615384615384,0.69,0.6764705882352942,100,0.69,0.9022343434343434
dolphin,0.7238095238095238,0.76,0.7414634146341463,100,0.76,0.9265797979797981
elephant,0.7840909090909091,0.69,0.7340425531914894,100,0.69,0.8986646464646465
flatfish,0.7549019607843137,0.77,0.7623762376237624,100,0.77,0.9038030303030302
forest,0.7129629629629629,0.77,0.7403846153846154,100,0.77,0.9182757575757575
fox,0.7047619047619048,0.74,0.7219512195121951,100,0.74,0.9123353535353536
girl,0.7352941176470589,0.75,0.7425742574257426,100,0.75,0.9172353535353535
hamster,0.8064516129032258,0.75,0.7772020725388601,100,0.75,0.9034979797979797
house,0.8222222222222222,0.74,0.7789473684210526,100,0.74,0.9099747474747475
kangaroo,0.7311827956989247,0.68,0.7046632124352331,100,0.68,0.8689868686868687
keyboard,0.7641509433962265,0.81,0.7864077669902912,100,0.81,0.9307383838383838
lamp,0.7368421052631579,0.84,0.7850467289719626,100,0.84,0.9463171717171716
lawn_mower,0.7387387387387387,0.82,0.7772511848341233,100,0.82,0.9426919191919191
leopard,0.7375,0.59,0.6555555555555556,100,0.59,0.8536898989898991
lion,0.7204301075268817,0.67,0.694300518134715,100,0.67,0.8658828282828283
lizard,0.696969696969697,0.69,0.6934673366834171,100,0.69,0.8881969696969696
lobster,0.7096774193548387,0.66,0.6839378238341969,100,0.66,0.8923323232323233
man,0.7052631578947368,0.67,0.6871794871794872,100,0.67,0.8791939393939394
maple_tree,0.7669902912621359,0.79,0.7783251231527094,100,0.79,0.9169323232323233
motorcycle,0.8155339805825242,0.84,0.8275862068965517,100,0.84,0.9335595959595959
mountain,0.7623762376237624,0.77,0.7661691542288557,100,0.77,0.9283040404040404
mouse,0.7362637362637363,0.67,0.7015706806282722,100,0.67,0.8784959595959595
mushroom,0.7207207207207207,0.8,0.7582938388625592,100,0.8,0.930650505050505
oak_tree,0.7628865979381443,0.74,0.751269035532995,100,0.74,0.9166777777777778
orange,0.7870370370370371,0.85,0.8173076923076923,100,0.85,0.9562707070707069
orchid,0.71875,0.69,0.7040816326530612,100,0.69,0.8892575757575758
otter,0.6842105263157895,0.65,0.6666666666666666,100,0.65,0.8977232323232323
palm_tree,0.7684210526315789,0.73,0.7487179487179487,100,0.73,0.8848363636363636
pear,0.7619047619047619,0.8,0.7804878048780488,100,0.8,0.9114565656565656
pickup_truck,0.7314814814814815,0.79,0.7596153846153846,100,0.79,0.9202131313131312
pine_tree,0.7142857142857143,0.8,0.7547169811320755,100,0.8,0.918621212121212
plain,0.7383177570093458,0.79,0.7632850241545893,100,0.79,0.9150535353535353
plate,0.76,0.76,0.76,100,0.76,0.896859595959596
poppy,0.7264150943396226,0.77,0.7475728155339806,100,0.77,0.9198040404040403
porcupine,0.6605504587155964,0.72,0.6889952153110048,100,0.72,0.9275636363636364
possum,0.8351648351648352,0.76,0.7958115183246073,100,0.76,0.9150303030303031
rabbit,0.71,0.71,0.71,100,0.71,0.9086131313131313
raccoon,0.7058823529411765,0.72,0.7128712871287128,100,0.72,0.9044232323232323
ray,0.7789473684210526,0.74,0.7589743589743589,100,0.74,0.913089898989899
road,0.7572815533980582,0.78,0.7684729064039408,100,0.78,0.9351020202020203
rocket,0.6814159292035398,0.77,0.7230046948356808,100,0.77,0.9045838383838384
rose,0.7070707070707071,0.7,0.7035175879396985,100,0.7,0.9036777777777777
sea,0.6893203883495146,0.71,0.6995073891625616,100,0.71,0.9140818181818181
