class,precision,recall,f1,support,class_accuracy,roc_auc
n02124075,0.717391304347826,0.66,0.6875,50,0.66,0.9447839195979899
n04067472,0.6818181818181818,0.6,0.6382978723404256,50,0.6,0.9506954773869346
n04540053,0.65,0.52,0.5777777777777777,50,0.52,0.9228603015075377
n04099969,0.6458333333333334,0.62,0.6326530612244898,50,0.62,0.9376120603015076
n07749582,0.6041666666666666,0.58,0.5918367346938775,50,0.58,0.9184663316582915
n01641577,0.5957446808510638,0.56,0.5773195876288659,50,0.56,0.9137849246231157
n02802426,0.6730769230769231,0.7,0.6862745098039216,50,0.7,0.9531778894472362
n09246464,0.5686274509803921,0.58,0.5742574257425742,50,0.58,0.945043216080402
n07920052,0.6904761904761905,0.58,0.6304347826086957,50,0.58,0.9223517587939699
n03970156,0.6078431372549019,0.62,0.6138613861386139,50,0.62,0.9091698492462312
n03891332,0.6444444444444445,0.58,0.6105263157894737,50,0.58,0.9063035175879397
n02106662,0.5686274509803921,0.58,0.5742574257425742,50,0.58,0.9199959798994974
n03201208,0.6808510638297872,0.64,0.6597938144329897,50,0.64,0.9157849246231157
n02279972,0.6,0.6,0.6,50,0.6,0.9631758793969849
n02132136,0.5813953488372093,0.5,0.5376344086021505,50,0.5,0.9222150753768844
n04146614,0.5384615384615384,0.56,0.5490196078431373,50,0.56,0.928078391959799
n07873807,0.6666666666666666,0.68,0.6732673267326733,50,0.68,0.9466954773869347
n02364673,0.7111111111111111,0.64,0.6736842105263158,50,0.64,0.9087597989949749
n04507155,0.6341463414634146,0.52,0.5714285714285714,50,0.52,0.9080663316582914
n03854065,0.6470588235294118,0.66,0.6534653465346535,50,0.66,0.923348743718593
n03838899,0.5084745762711864,0.6,0.5504587155963303,50,0.6,0.9454150753768844
n03733131,0.6415094339622641,0.68,0.6601941747572816,50,0.68,0.9043236180904524
n01443537,0.62,0.62,0.62,50,0.62,0.9517989949748744
n07875152,0.6792452830188679,0.72,0.6990291262135923,50,0.72,0.9410130653266331
n03544143,0.6153846153846154,0.48,0.5393258426966292,50,0.48,0.9185989949748743
n09428293,0.66,0.66,0.66,50,0.66,0.9363899497487437
n03085013,0.75,0.78,0.7647058823529411,50,0.78,0.9480321608040201
n02437312,0.6444444444444445,0.58,0.6105263157894737,50,0.58,0.9140603015075377
n07614500,0.5510204081632653,0.54,0.5454545454545454,50,0.54,0.9002090452261308
n03804744,0.6086956521739131,0.56,0.5833333333333334,50,0.56,0.9386371859296482
n04265275,0.5686274509803921,0.58,0.5742574257425742,50,0.58,0.9388964824120603
n02963159,0.65,0.78,0.7090909090909091,50,0.78,0.9575497487437186
n02486410,0.62,0.62,0.62,50,0.62,0.9201005025125628
n01944390,0.5306122448979592,0.52,0.5252525252525253,50,0.52,0.9201849246231155
n09256479,0.6086956521739131,0.56,0.5833333333333334,50,0.56,0.9142653266331658
n02058221,0.609375,0.78,0.6842105263157895,50,0.78,0.9792140703517588
n04275548,0.5961538461538461,0.62,0.6078431372549019,50,0.62,0.9099376884422111
n02321529,0.6046511627906976,0.52,0.5591397849462365,50,0.52,0.8992482412060301
n02769748,0.5714285714285714,0.56,0.5656565656565656,50,0.56,0.9228261306532662
n02099712,0.7021276595744681,0.66,0.6804123711340206,50,0.66,0.9390814070351758
n07695742,0.6909090909090909,0.76,0.7238095238095238,50,0.76,0.9220522613065326
n02056570,0.7777777777777778,0.7,0.7368421052631579,50,0.7,0.9297085427135678
n02281406,0.6956521739130435,0.64,0.6666666666666666,50,0.64,0.8859336683417086
n01774750,0.58,0.58,0.58,50,0.58,0.8690472361809045
n02509815,0.6727272727272727,0.74,0.7047619047619048,50,0.74,0.9173045226130653
n03983396,0.5740740740740741,0.62,0.5961538461538461,50,0.62,0.8856824120603015
n07753592,0.7254901960784313,0.74,0.7326732673267327,50,0.74,0.9076221105527638
n04254777,0.5535714285714286,0.62,0.5849056603773585,50,0.62,0.8895879396984924
n02233338,0.59375,0.76,0.6666666666666666,50,0.76,0.9020984924623116
n04008634,0.7674418604651163,0.66,0.7096774193548387,50,0.66,0.8603296482412061
n02823428,0.6,0.6,0.6,50,0.6,0.8564
n02236044,0.5344827586206896,0.62,0.5740740740740741,50,0.62,0.9163437185929648
n03393912,0.5740740740740741,0.62,0.5961538461538461,50,0.62,0.8750673366834171
n07583066,0.6226415094339622,0.66,0.6407766990291263,50,0.66,0.9089386934673367
n04074963,0.6,0.6,0.6,50,0.6,0.8978934673366834
n01629819,0.6792452830188679,0.72,0.6990291262135923,50,0.72,0.9205587939698491
n09332890,0.7058823529411765,0.48,0.5714285714285714,50,0.48,0.8457788944723618
n02481823,0.6206896551724138,0.72,0.6666666666666666,50,0.72,0.9272
n03902125,0.7,0.7,0.7,50,0.7,0.9189809045226132
n03404251,0.6470588235294118,0.66,0.6534653465346535,50,0.66,0.8985527638190955
n09193705,0.6470588235294118,0.66,0.6534653465346535,50,0.66,0.8658653266331658
n03637318,0.6060606060606061,0.8,0.6896551724137931,50,0.8,0.9084341708542715
n04456115,0.673469387755102,0.66,0.6666666666666666,50,0.66,0.8885025125628139
n02666196,0.5370370370370371,0.58,0.5576923076923077,50,0.58,0.8534814070351758
n03796401,0.6666666666666666,0.64,0.6530612244897959,50,0.64,0.8768261306532663
n02795169,0.6607142857142857,0.74,0.6981132075471698,50,0.74,0.9307035175879398
n02123045,0.5892857142857143,0.66,0.6226415094339622,50,0.66,0.9056723618090453
n01855672,0.6875,0.66,0.673469387755102,50,0.66,0.8704140703517588
n01882714,0.7209302325581395,0.62,0.6666666666666666,50,0.62,0.8566633165829145
n02917067,0.6304347826086957,0.58,0.6041666666666666,50,0.58,0.8491879396984925
n02988304,0.7567567567567568,0.56,0.6436781609195402,50,0.56,0.8374532663316583
n04398044,0.5882352941176471,0.6,0.594059405940594,50,0.6,0.8753969849246231
n02843684,0.6666666666666666,0.56,0.6086956521739131,50,0.56,0.8720040201005026
n02423022,0.66,0.66,0.66,50,0.66,0.9072904522613066
n02669723,0.7333333333333333,0.66,0.6947368421052632,50,0.66,0.8816522613065326
n04465501,0.7619047619047619,0.64,0.6956521739130435,50,0.64,0.8817788944723618
n02165456,0.7169811320754716,0.76,0.7378640776699029,50,0.76,0.9087095477386934
n03770439,0.5535714285714286,0.62,0.5849056603773585,50,0.62,0.8409708542713569
n02099601,0.717391304347826,0.66,0.6875,50,0.66,0.9237185929648242
n04486054,0.6491228070175439,0.74,0.6915887850467289,50,0.74,0.9232381909547739
n02950826,0.5,0.46,0.4791666666666667,50,0.46,0.7716944723618091
n03814639,0.6862745098039216,0.7,0.693069306930693,50,0.7,0.9369386934673367
n04259630,0.75,0.66,0.7021276595744681,50,0.66,0.9104060301507538
n03424325,0.6444444444444445,0.58,0.6105263157894737,50,0.58,0.8425145728643215
n02948072,0.6296296296296297,0.68,0.6538461538461539,50,0.68,0.8993427135678391
n03179701,0.6730769230769231,0.7,0.6862745098039216,50,0.7,0.9383095477386935
n03400231,0.7142857142857143,0.7,0.7070707070707071,50,0.7,0.9124281407035175
n02206856,0.6875,0.66,0.673469387755102,50,0.66,0.9048301507537688
n03160309,0.6444444444444445,0.58,0.6105263157894737,50,0.58,0.8646231155778894
n01984695,0.7083333333333334,0.68,0.6938775510204082,50,0.68,0.889794974874372
n03977966,0.7115384615384616,0.74,0.7254901960784313,50,0.74,0.9111276381909549
n03584254,0.6458333333333334,0.62,0.6326530612244898,50,0.62,0.8814090452261306
n04023962,0.6415094339622641,0.68,0.6601941747572816,50,0.68,0.8814010050251256
n02814860,0.6666666666666666,0.6,0.631578947368421,50,0.6,0.838086432160804
n01910747,0.5818181818181818,0.64,0.6095238095238096,50,0.64,0.9339517587939699
n04596742,0.5892857142857143,0.66,0.6226415094339622,50,0.66,0.9042070351758794
n03992509,0.5964912280701754,0.68,0.6355140186915887,50,0.68,0.9094211055276381
n04133789,0.7358490566037735,0.78,0.7572815533980582,50,0.78,0.9033527638190955
n03937543,0.6904761904761905,0.58,0.6304347826086957,50,0.58,0.8741788944723619
n02927161,0.6530612244897959,0.64,0.6464646464646465,50,0.64,0.9119135678391959
n01945685,0.7,0.7,0.7,50,0.7,0.9278633165829145
n02395406,0.66,0.66,0.66,50,0.66,0.8999195979899498
n02125311,0.75,0.78,0.7647058823529411,50,0.78,0.9221386934673367
n03126707,0.6,0.66,0.6285714285714286,50,0.66,0.9195638190954774
n04532106,0.7727272727272727,0.68,0.723404255319149,50,0.68,0.8923015075376884
n02268443,0.6923076923076923,0.72,0.7058823529411765,50,0.72,0.8944100502512562
n02977058,0.7291666666666666,0.7,0.7142857142857143,50,0.7,0.9314673366834171
n07734744,0.7446808510638298,0.7,0.7216494845360825,50,0.7,0.9514110552763818
