class,precision,recall,f1,support,class_accuracy,roc_auc
apple,0.8349514563106796,0.86,0.8472906403940886,100,0.86,0.9623515151515151
aquarium_fish,0.7789473684210526,0.74,0.7589743589743589,100,0.74,0.9420333333333333
baby,0.7789473684210526,0.74,0.7589743589743589,100,0.74,0.9224939393939393
bear,0.7789473684210526,0.74,0.7589743589743589,100,0.74,0.8970363636363636
beaver,0.7777777777777778,0.84,0.8076923076923077,100,0.84,0.9511242424242423
bed,0.801980198019802,0.81,0.8059701492537313,100,0.81,0.9586181818181819
bee,0.7238095238095238,0.76,0.7414634146341463,100,0.76,0.9362565656565656
beetle,0.7567567567567568,0.84,0.7962085308056872,100,0.84,0.9617080808080808
bicycle,0.8282828282828283,0.82,0.8241206030150754,100,0.82,0.975710101010101
bottle,0.826530612244898,0.81,0.8181818181818182,100,0.81,0.9555181818181818
bowl,0.74,0.74,0.74,100,0.74,0.945639393939394
boy,0.77,0.77,0.77,100,0.77,0.9274464646464647
bridge,0.7614678899082569,0.83,0.7942583732057417,100,0.83,0.9817161616161615
bus,0.7565217391304347,0.87,0.8093023255813954,100,0.87,0.9702909090909091
butterfly,0.7766990291262136,0.8,0.7881773399014779,100,0.8,0.9298464646464645
camel,0.7575757575757576,0.75,0.7537688442211056,100,0.75,0.911779797979798
can,0.7878787878787878,0.78,0.7839195979899497,100,0.78,0.9669080808080808
castle,0.845360824742268,0.82,0.8324873096446701,100,0.82,0.961231313131313
caterpillar,0.782608695652174,0.72,0.75,100,0.72,0.9272242424242424
cattle,0.7391304347826086,0.68,0.7083333333333334,100,0.68,0.9294565656565656
chair,0.7272727272727273,0.8,0.7619047619047619,100,0.8,0.9665909090909091
chimpanzee,0.7676767676767676,0.76,0.7638190954773869,100,0.76,0.9388262626262627
clock,0.7640449438202247,0.68,0.7195767195767195,100,0.68,0.9196939393939394
cloud,0.7333333333333333,0.77,0.751219512195122,100,0.77,0.9431949494949495
cockroach,0.7798165137614679,0.85,0.8133971291866029,100,0.85,0.9610090909090908
couch,0.7731958762886598,0.75,0.7614213197969543,100,0.75,0.9548444444444445
crab,0.6979166666666666,0.67,0.6836734693877551,100,0.67,0.9040414141414141
crocodile,0.7628865979381443,0.74,0.751269035532995,100,0.74,0.9037101010101011
