class,precision,recall,f1,support,class_accuracy,roc_auc
apple,0.81,0.81,0.81,100,0.81,0.9210979797979798
aquarium_fish,0.8247422680412371,0.8,0.8121827411167513,100,0.8,0.9475939393939394
baby,0.7976190476190477,0.67,0.7282608695652174,100,0.67,0.9096606060606061
bear,0.7959183673469388,0.78,0.7878787878787878,100,0.78,0.9308242424242423
beaver,0.7454545454545455,0.82,0.780952380952381,100,0.82,0.9342232323232322
bed,0.8037383177570093,0.86,0.8309178743961353,100,0.86,0.9611808080808081
bee,0.7575757575757576,0.75,0.7537688442211056,100,0.75,0.9053434343434342
beetle,0.7669902912621359,0.79,0.7783251231527094,100,0.79,0.9228030303030303
bicycle,0.8350515463917526,0.81,0.8223350253807107,100,0.81,0.9415070707070707
bottle,0.8163265306122449,0.8,0.8080808080808081,100,0.8,0.9160181818181818
bowl,0.7920792079207921,0.8,0.7960199004975125,100,0.8,0.9050575757575757
boy,0.8279569892473119,0.77,0.7979274611398963,100,0.77,0.9146575757575759
bridge,0.7623762376237624,0.77,0.7661691542288557,100,0.77,0.9022343434343433
bus,0.8240740740740741,0.89,0.8557692307692307,100,0.89,0.9618434343434343
butterfly,0.7619047619047619,0.64,0.6956521739130435,100,0.64,0.8519303030303031
camel,0.7741935483870968,0.72,0.7461139896373057,100,0.72,0.9119666666666666
can,0.7431192660550459,0.81,0.7751196172248804,100,0.81,0.9399484848484847
castle,0.7912087912087912,0.72,0.7539267015706806,100,0.72,0.9114202020202019
caterpillar,0.78125,0.75,0.7653061224489796,100,0.75,0.9312262626262626
cattle,0.7766990291262136,0.8,0.7881773399014779,100,0.8,0.9200333333333333
chair,0.7745098039215687,0.79,0.7821782178217822,100,0.79,0.9173141414141414
chimpanzee,0.7551020408163265,0.74,0.7474747474747475,100,0.74,0.9220161616161615
clock,0.8571428571428571,0.84,0.8484848484848485,100,0.84,0.9441151515151516
cloud,0.7567567567567568,0.84,0.7962085308056872,100,0.84,0.9365151515151514
cockroach,0.7610619469026548,0.86,0.8075117370892019,100,0.86,0.9450757575757576
couch,0.8387096774193549,0.78,0.8082901554404145,100,0.78,0.9078292929292929
crab,0.7333333333333333,0.77,0.751219512195122,100,0.77,0.9189707070707072
crocodile,0.8461538461538461,0.77,0.806282722513089,100,0.77,0.8984484848484848
cup,0.7788461538461539,0.81,0.7941176470588235,100,0.81,0.9290919191919192
dinosaur,0.7524752475247525,0.76,0.7562189054726368,100,0.76,0.9165484848484847
dolphin,0.79,0.79,0.79,100,0.79,0.9309515151515151
elephant,0.7339449541284404,0.8,0.7655502392344498,100,0.8,0.922030303030303
flatfish,0.8241758241758241,0.75,0.7853403141361257,100,0.75,0.8873414141414142
forest,0.7980769230769231,0.83,0.8137254901960784,100,0.83,0.9516010101010101
fox,0.7821782178217822,0.79,0.7860696517412935,100,0.79,0.9173202020202019
girl,0.75,0.75,0.75,100,0.75,0.9109171717171717
hamster,0.8260869565217391,0.76,0.7916666666666666,100,0.76,0.8909101010101009
house,0.8191489361702128,0.77,0.7938144329896907,100,0.77,0.8952939393939395
kangaroo,0.7582417582417582,0.69,0.7225130890052356,100,0.69,0.8549212121212122
keyboard,0.826530612244898,0.81,0.8181818181818182,100,0.81,0.9547626262626262
lamp,0.7549019607843137,0.77,0.7623762376237624,100,0.77,0.8927737373737372
lawn_mower,0.8712871287128713,0.88,0.8756218905472637,100,0.88,0.9399191919191919
leopard,0.7777777777777778,0.77,0.7738693467336684,100,0.77,0.9266232323232324
lion,0.8333333333333334,0.8,0.8163265306122449,100,0.8,0.9563777777777779
lizard,0.82,0.82,0.82,100,0.82,0.9349707070707071
lobster,0.7383177570093458,0.79,0.7632850241545893,100,0.79,0.898489898989899
man,0.7840909090909091,0.69,0.7340425531914894,100,0.69,0.8754575757575757
maple_tree,0.7755102040816326,0.76,0.7676767676767676,100,0.76,0.9148606060606062
motorcycle,0.7706422018348624,0.84,0.8038277511961722,100,0.84,0.9379282828282827
mountain,0.803921568627451,0.82,0.8118811881188119,100,0.82,0.9342909090909091
mouse,0.7553191489361702,0.71,0.7319587628865979,100,0.71,0.9057202020202019
mushroom,0.79,0.79,0.79,100,0.79,0.8869121212121213
oak_tree,0.7714285714285715,0.81,0.7902439024390244,100,0.81,0.9353424242424242
orange,0.8282828282828283,0.82,0.8241206030150754,100,0.82,0.9370161616161617
orchid,0.851063829787234,0.8,0.8247422680412371,100,0.8,0.9176686868686869
otter,0.8333333333333334,0.8,0.8163265306122449,100,0.8,0.9256727272727273
