class,precision,recall,f1,support,class_accuracy,roc_auc
apple,0.8585858585858586,0.85,0.8542713567839196,100,0.85,0.9555787878787879
aquarium_fish,0.8673469387755102,0.85,0.8585858585858586,100,0.85,0.9418373737373738
baby,0.83,0.83,0.83,100,0.83,0.9388909090909091
bear,0.8431372549019608,0.86,0.8514851485148515,100,0.86,0.9608080808080809
beaver,0.84375,0.81,0.826530612244898,100,0.81,0.9596484848484849
bed,0.8543689320388349,0.88,0.8669950738916257,100,0.88,0.9442434343434344
bee,0.8350515463917526,0.81,0.8223350253807107,100,0.81,0.9194464646464646
beetle,0.851063829787234,0.8,0.8247422680412371,100,0.8,0.9215383838383838
bicycle,0.8529411764705882,0.87,0.8613861386138614,100,0.87,0.9735545454545455
bottle,0.9,0.9,0.9,100,0.9,0.9692737373737373
bowl,0.91,0.91,0.91,100,0.91,0.9698848484848485
boy,0.8061224489795918,0.79,0.797979797979798,100,0.79,0.9345474747474747
bridge,0.8155339805825242,0.84,0.8275862068965517,100,0.84,0.9448131313131313
bus,0.8737864077669902,0.9,0.8866995073891626,100,0.9,0.9826343434343434
butterfly,0.8021978021978022,0.73,0.7643979057591623,100,0.73,0.913730303030303
camel,0.8645833333333334,0.83,0.8469387755102041,100,0.83,0.9360616161616162
can,0.8333333333333334,0.85,0.8415841584158416,100,0.85,0.960760606060606
castle,0.8421052631578947,0.8,0.8205128205128205,100,0.8,0.9436343434343435
caterpillar,0.8118811881188119,0.82,0.8159203980099502,100,0.82,0.9183505050505051
cattle,0.8476190476190476,0.89,0.8682926829268293,100,0.89,0.9592484848484848
chair,0.8543689320388349,0.88,0.8669950738916257,100,0.88,0.9679939393939393
chimpanzee,0.8787878787878788,0.87,0.8743718592964824,100,0.87,0.9618111111111111
clock,0.7876106194690266,0.89,0.8356807511737089,100,0.89,0.9751555555555556
cloud,0.8543689320388349,0.88,0.8669950738916257,100,0.88,0.9584656565656565
cockroach,0.8526315789473684,0.81,0.8307692307692308,100,0.81,0.9491252525252525
couch,0.8666666666666667,0.91,0.8878048780487805,100,0.91,0.9876525252525253
crab,0.84375,0.81,0.826530612244898,100,0.81,0.9203878787878788
crocodile,0.8279569892473119,0.77,0.7979274611398963,100,0.77,0.9331434343434344
cup,0.87,0.87,0.87,100,0.87,0.9637646464646464
dinosaur,0.8404255319148937,0.79,0.8144329896907216,100,0.79,0.9096626262626262
dolphin,0.8018867924528302,0.85,0.8252427184466019,100,0.85,0.9318070707070707
elephant,0.8260869565217391,0.76,0.7916666666666666,100,0.76,0.9416070707070707
flatfish,0.8557692307692307,0.89,0.8725490196078431,100,0.89,0.9812181818181819
forest,0.8712871287128713,0.88,0.8756218905472637,100,0.88,0.983249494949495
fox,0.8080808080808081,0.8,0.8040201005025126,100,0.8,0.9302858585858585
girl,0.8085106382978723,0.76,0.7835051546391752,100,0.76,0.9392212121212121
hamster,0.7818181818181819,0.86,0.819047619047619,100,0.86,0.961180808080808
house,0.9,0.9,0.9,100,0.9,0.9787181818181818
kangaroo,0.8823529411764706,0.9,0.8910891089108911,100,0.9,0.9694515151515152
keyboard,0.8787878787878788,0.87,0.8743718592964824,100,0.87,0.9749767676767677
lamp,0.8686868686868687,0.86,0.864321608040201,100,0.86,0.9731787878787879
lawn_mower,0.8932038834951457,0.92,0.9064039408866995,100,0.92,0.986469696969697
leopard,0.8555555555555555,0.77,0.8105263157894737,100,0.77,0.8980171717171718
lion,0.8351648351648352,0.76,0.7958115183246073,100,0.76,0.9526727272727273
lizard,0.8526315789473684,0.81,0.8307692307692308,100,0.81,0.9515828282828284
lobster,0.8725490196078431,0.89,0.8811881188118812,100,0.89,0.9479363636363637
man,0.8333333333333334,0.85,0.8415841584158416,100,0.85,0.9386020202020202
maple_tree,0.8529411764705882,0.87,0.8613861386138614,100,0.87,0.9660090909090908
motorcycle,0.8315789473684211,0.79,0.8102564102564103,100,0.79,0.9200545454545455
mountain,0.86,0.86,0.86,100,0.86,0.9640666666666666
mouse,0.8478260869565217,0.78,0.8125,100,0.78,0.9371080808080808
mushroom,0.8469387755102041,0.83,0.8383838383838383,100,0.83,0.9533646464646465
oak_tree,0.8526315789473684,0.81,0.8307692307692308,100,0.81,0.9356808080808081
orange,0.8198198198198198,0.91,0.8625592417061612,100,0.91,0.9764767676767676
orchid,0.8240740740740741,0.89,0.8557692307692307,100,0.89,0.9801212121212121
otter,0.8514851485148515,0.86,0.8557213930348259,100,0.86,0.9728161616161617
palm_tree,0.8602150537634409,0.8,0.8290155440414507,100,0.8,0.9509313131313131
pear,0.8181818181818182,0.81,0.8140703517587939,100,0.81,0.957760606060606
pickup_truck,0.8365384615384616,0.87,0.8529411764705882,100,0.87,0.9772383838383838
pine_tree,0.8018018018018018,0.89,0.8436018957345972,100,0.89,0.9590222222222222
