class,precision,recall,f1,support,class_accuracy,roc_auc
n02124075,0.7045454545454546,0.62,0.6595744680851063,50,0.62,0.9505768844221105
n04067472,0.6666666666666666,0.56,0.6086956521739131,50,0.56,0.934086432160804
n04540053,0.6428571428571429,0.54,0.5869565217391305,50,0.54,0.9270090452261306
n04099969,0.6545454545454545,0.72,0.6857142857142857,50,0.72,0.955905527638191
n07749582,0.6444444444444445,0.58,0.6105263157894737,50,0.58,0.9323517587939698
n01641577,0.6,0.6,0.6,50,0.6,0.9115859296482411
n02802426,0.6170212765957447,0.58,0.5979381443298969,50,0.58,0.9194110552763819
n09246464,0.5581395348837209,0.48,0.5161290322580645,50,0.48,0.8973085427135679
n07920052,0.6428571428571429,0.54,0.5869565217391305,50,0.54,0.8936241206030151
n03970156,0.6363636363636364,0.56,0.5957446808510638,50,0.56,0.9328522613065326
n03891332,0.6808510638297872,0.64,0.6597938144329897,50,0.64,0.9619015075376884
n02106662,0.5263157894736842,0.6,0.5607476635514018,50,0.6,0.9135939698492462
n03201208,0.6078431372549019,0.62,0.6138613861386139,50,0.62,0.9420924623115576
n02279972,0.5471698113207547,0.58,0.5631067961165048,50,0.58,0.9509226130653267
n02132136,0.5714285714285714,0.48,0.5217391304347826,50,0.48,0.933772864321608
n04146614,0.4897959183673469,0.48,0.48484848484848486,50,0.48,0.9146552763819096
n07873807,0.6346153846153846,0.66,0.6470588235294118,50,0.66,0.9487819095477387
n02364673,0.5882352941176471,0.6,0.594059405940594,50,0.6,0.9597829145728642
n04507155,0.775,0.62,0.6888888888888889,50,0.62,0.9544341708542714
n03854065,0.64,0.64,0.64,50,0.64,0.9213587939698492
n03838899,0.45614035087719296,0.52,0.48598130841121495,50,0.52,0.9128683417085426
n03733131,0.5813953488372093,0.5,0.5376344086021505,50,0.5,0.9310150753768844
n01443537,0.4791666666666667,0.46,0.46938775510204084,50,0.46,0.9287557788944724
n07875152,0.6944444444444444,0.5,0.5813953488372093,50,0.5,0.9227778894472363
n03544143,0.6166666666666667,0.74,0.6727272727272727,50,0.74,0.9772643216080401
n09428293,0.5217391304347826,0.48,0.5,50,0.48,0.8928844221105527
n03085013,0.7,0.56,0.6222222222222222,50,0.56,0.9352743718592965
n02437312,0.6458333333333334,0.62,0.6326530612244898,50,0.62,0.957364824120603
n07614500,0.5471698113207547,0.58,0.5631067961165048,50,0.58,0.9311417085427136
n03804744,0.6818181818181818,0.6,0.6382978723404256,50,0.6,0.9317829145728642
n04265275,0.7021276595744681,0.66,0.6804123711340206,50,0.66,0.9289668341708542
n02963159,0.5789473684210527,0.66,0.616822429906542,50,0.66,0.9553708542713568
n02486410,0.6,0.6,0.6,50,0.6,0.9333366834170854
n01944390,0.5535714285714286,0.62,0.5849056603773585,50,0.62,0.9374653266331658
n09256479,0.6444444444444445,0.58,0.6105263157894737,50,0.58,0.9168120603015075
n02058221,0.5084745762711864,0.6,0.5504587155963303,50,0.6,0.948486432160804
n04275548,0.5614035087719298,0.64,0.5981308411214953,50,0.64,0.952078391959799
n02321529,0.6666666666666666,0.64,0.6530612244897959,50,0.64,0.9232824120603016
n02769748,0.6444444444444445,0.58,0.6105263157894737,50,0.58,0.9082994974874372
n02099712,0.6666666666666666,0.64,0.6530612244897959,50,0.64,0.9266713567839195
n07695742,0.5636363636363636,0.62,0.5904761904761905,50,0.62,0.868462311557789
n02056570,0.6296296296296297,0.68,0.6538461538461539,50,0.68,0.8888201005025126
n02281406,0.7037037037037037,0.76,0.7307692307692307,50,0.76,0.912894472361809
n01774750,0.6666666666666666,0.6,0.631578947368421,50,0.6,0.9112663316582914
n02509815,0.7608695652173914,0.7,0.7291666666666666,50,0.7,0.9188
n03983396,0.6727272727272727,0.74,0.7047619047619048,50,0.74,0.9115718592964824
n07753592,0.62,0.62,0.62,50,0.62,0.8583316582914573
n04254777,0.6666666666666666,0.68,0.6732673267326733,50,0.68,0.8720381909547738
n02233338,0.64,0.64,0.64,50,0.64,0.9034190954773869
n04008634,0.5666666666666667,0.68,0.6181818181818182,50,0.68,0.8749286432160803
n02823428,0.6666666666666666,0.68,0.6732673267326733,50,0.68,0.9186713567839196
n02236044,0.6888888888888889,0.62,0.6526315789473685,50,0.62,0.8868100502512564
n03393912,0.6181818181818182,0.68,0.6476190476190476,50,0.68,0.8997286432160803
n07583066,0.5957446808510638,0.56,0.5773195876288659,50,0.56,0.8746814070351758
n04074963,0.6071428571428571,0.68,0.6415094339622641,50,0.68,0.9216783919597991
n01629819,0.5892857142857143,0.66,0.6226415094339622,50,0.66,0.9020904522613065
